Year,GDP per capita,year,coll,indi,loose,tight
1950,799.0,1950,9.939277288140146e-05,0.0001142160105506,1.0316750647118172e-05,1.0259286173968414e-05
1951,950.0,1951,9.829157608010064e-05,0.0001145504551719,1.035189726590018e-05,1.0199626718941446e-05
1952,1047.0,1952,9.785959787222966e-05,0.0001151788428614,1.0452869503712364e-05,1.007192619845958e-05
1953,1157.0,1953,9.581100511013574e-05,0.0001168211099086,1.0540553031371647e-05,9.85661088017358e-06
1954,1049.0,1954,9.603495456238826e-05,0.0001178112287496,1.0612618524052142e-05,9.844590700985072e-06
1955,1119.0,1955,9.481195491746673e-05,0.0001180064789098,1.0752199076186076e-05,9.754920549706216e-06
1956,1189.0,1956,9.399581010224468e-05,0.0001185528977397,1.0887997253958677e-05,9.707167398330188e-06
1957,1195.0,1957,9.208284831174753e-05,0.0001184577728443,1.102649698172769e-05,9.679263257262555e-06
1958,1173.0,1958,9.09031483696968e-05,0.0001184051097555,1.1265658653784674e-05,9.596602110560428e-06
1959,1117.0,1959,8.896555084447753e-05,0.0001177116658774,1.1424061036124132e-05,9.532920041164874e-06
1960,1057.0,1960,8.81553020073105e-05,0.0001171281102025,1.1589230475092136e-05,9.5512612883145e-06
1961,874.0,1961,8.603396370939922e-05,0.0001168004025657,1.178456305495544e-05,9.450182063375222e-06
1962,926.0,1962,8.579425182883175e-05,0.0001167437161971,1.1938582726046216e-05,9.461533064479356e-06
1963,1034.0,1963,8.480564685799306e-05,0.0001169553100096,1.2100899070779542e-05,9.414444087545754e-06
1964,1152.0,1964,8.53358444926146e-05,0.0001178584788509,1.2296559454734655e-05,9.44761262157304e-06
1965,1253.0,1965,8.498849171343992e-05,0.0001188681714795,1.24333379478671e-05,9.485454959141344e-06
1966,1261.0,1966,8.529866785725712e-05,0.0001202764133592,1.2615876132767076e-05,9.529019477838575e-06
1967,1237.0,1967,8.501925287873747e-05,0.0001217296524243,1.2802894887859696e-05,9.579365318757029e-06
1968,1178.0,1968,8.562764736552708e-05,0.000123023394378,1.2995230320017592e-05,9.726758960328291e-06
1969,1264.0,1969,8.455759075332026e-05,0.0001247028886025,1.3170035961963218e-05,9.828415154191005e-06
1970,1398.0,1970,8.442318235373543e-05,0.0001258190023431,1.335161732436339e-05,9.997775982079865e-06
1971,1446.0,1971,8.286411455823586e-05,0.0001267891061291,1.3511535787590662e-05,1.009776367583624e-05
1972,1431.0,1972,8.193500882823302e-05,0.000127425514425,1.368067651769429e-05,1.0235611120533252e-05
1973,1513.0,1973,8.076980821312774e-05,0.0001279663899172,1.3823712629358018e-05,1.038757211456901e-05
1974,1519.0,1974,7.979117732150242e-05,0.0001281103076118,1.400005698699818e-05,1.0479197978189145e-05
1975,1594.0,1975,7.815466822031728e-05,0.0001286816852176,1.416000673123022e-05,1.0517864484630276e-05
1976,1519.0,1976,7.731436854133529e-05,0.0001283841891433,1.4347501620332836e-05,1.05368385831639e-05
1977,1583.0,1977,7.549732055979672e-05,0.0001283884498661,1.4545423336235052e-05,1.0466034147782464e-05
1978,1744.0,1978,7.444612300235218e-05,0.0001281392770969,1.469281745577002e-05,1.0416247717362888e-05
1979,1859.0,1979,7.285708596376545e-05,0.000127812463266,1.4840704744177394e-05,1.0359497361735391e-05
1980,1930.0,1980,7.141976629603569e-05,0.0001272465260301,1.5048888345417906e-05,1.027453948105566e-05
1981,1962.0,1981,6.96402565227215e-05,0.0001269222926306,1.5198186822331018e-05,1.015719418770037e-05
1982,2128.0,1982,6.844663937093693e-05,0.0001259088905304,1.532180532817229e-05,1.0099207710011018e-05
1983,2227.0,1983,6.68140124722478e-05,0.0001258581444614,1.5525082236966807e-05,1.0024479463563044e-05
1984,2444.0,1984,6.622082158612232e-05,0.0001257972957254,1.5647033156152013e-05,1.00195230635742e-05
1985,2619.0,1985,6.543313391002163e-05,0.0001260092947502,1.5858383640313503e-05,9.999009421944396e-06
1986,2748.0,1986,6.489507537058412e-05,0.0001262989426972,1.601408083596719e-05,9.909627742794264e-06
1987,2931.0,1987,6.444649870575501e-05,0.0001269490823818,1.6237788703286702e-05,9.861955827464696e-06
1988,3045.0,1988,6.445534956713216e-05,0.0001277606318451,1.6473313227414823e-05,9.886574259253068e-06
1989,3022.0,1989,6.399010586782034e-05,0.0001292944875136,1.676021840149668e-05,9.852144423762508e-06
1990,2982.0,1990,6.400733937133347e-05,0.0001304598520489,1.696145316085751e-05,9.81601012698872e-06
1991,3051.3152,1991,6.348916524854887e-05,0.0001317216395234,1.722869263295187e-05,9.770048522536203e-06
1992,3227.7441,1992,6.363192307747211e-05,0.0001328303116809,1.7450623406799003e-05,9.80062105376029e-06
1993,3506.48,1993,6.367239693970208e-05,0.0001347235560647,1.7793084805704594e-05,9.869921516423932e-06
1994,3730.164,1994,6.412081648120096e-05,0.0001371699281012,1.809143200621755e-05,9.94008130683304e-06
1995,3999.7292,1995,6.424451091951205e-05,0.0001392344738633,1.8365134311440887e-05,1.0035411717979055e-05
1996,4219.644,1996,6.488831852331195e-05,0.0001415286539798,1.865691987137692e-05,1.0123713407088935e-05
1997,4310.828,1997,6.538003663081328e-05,0.0001443454753565,1.8869604425576973e-05,1.0194203902155356e-05
1998,4309.847,1998,6.62621661311797e-05,0.0001470881303638,1.903830859706674e-05,1.0254621944787757e-05
1999,4466.7363,1999,6.630925727384758e-05,0.0001500588338266,1.9283037593258765e-05,1.0225537242547488e-05
2000,4730.3545,2000,6.685782883713338e-05,0.0001530684315704,1.943645467650563e-05,1.0207682653426025e-05
2001,4995.1445,2001,6.709515536483326e-05,0.0001555056765027,1.951364467421358e-05,1.0158401228060098e-05
2002,5343.1123,2002,6.761684405124209e-05,0.0001584330322137,1.951361325955224e-05,1.0037469880330716e-05
2003,5649.4634,2003,6.786297943303258e-05,0.0001606286815721,1.950581295489608e-05,9.935032923432835e-06
2004,6067.5913,2004,6.791346402224006e-05,0.0001627401840258,1.956454350859893e-05,9.848364160396678e-06
2005,6626.592,2005,6.825180296183525e-05,0.0001652739711711,1.9678264238473127e-05,9.820771196546372e-06
2006,7271.0356,2006,6.914717949614766e-05,0.0001689970002059,1.962606305681648e-05,9.697001936867117e-06
2007,7895.713,2007,6.936431030421122e-05,0.0001733153665424,1.9908494600352963e-05,9.55447313007848e-06
2008,8190.1123,2008,6.920238871543917e-05,0.000177982191287,2.0014730082484887e-05,9.280716725815608e-06
2009,8734.041,2009,6.837049742866188e-05,0.0001805216004738,2.0091277423071672e-05,8.949711589220245e-06
2010,9658.419,2010,6.745647468570887e-05,0.0001836039391491,2.0151776122080884e-05,8.590211699401249e-06
2011,10221.0,2011,6.7318370115897e-05,0.0001875948305496,2.0179989552003365e-05,8.267878252407205e-06
2012,10680.0,2012,6.648874436418087e-05,0.0001908642098637,2.020771778113201e-05,7.856445135904063e-06
2013,11328.0,2013,6.5200942539637e-05,0.0001925104135937,2.034954395557469e-05,7.573851688594655e-06
2014,11944.0,2014,6.43065972911115e-05,0.0001928716956821,2.009215233764421e-05,7.255257444021319e-06
2015,12244.0,2015,6.40422357735458e-05,0.0001918935088594,2.0012573160041063e-05,7.125520760402942e-06
2016,12569.0,2016,6.421202665153811e-05,0.0001932828460147,2.0068125528111785e-05,7.035082250642487e-06
2017,12733.932,2017,6.442152222992566e-05,0.0001943126881845,2.0090090278427707e-05,6.995597881598314e-06
2018,13101.706,2018,6.413177213744349e-05,0.0001937812823598,2.015211942572925e-05,6.955429965955772e-06
