,Year,MeanCompound,year,effort_vir_vic_diff
0,1873,0.15897777777777777,1873,0.016869807243347
1,1874,0.18883025984911989,1874,0.0079960584640502
2,1875,0.14494599644128114,1875,0.0128589749336243
3,1876,0.18187604220277923,1876,0.0141274690628051
4,1877,0.18949808917197453,1877,0.0028299689292907
5,1878,0.1873272243713733,1878,0.0044625163078307
6,1879,0.16931846819024088,1879,0.0146226406097412
7,1880,0.1935742734122713,1880,0.0184040307998656
8,1881,0.2180276708692767,1881,0.0006738185882567
9,1882,0.18665765064836,1882,0.0085018038749694
10,1883,0.22321394230769234,1883,0.0056358575820922
11,1884,0.21089266159079864,1884,0.01756671667099
12,1885,0.2163141124586549,1885,0.0192171096801757
13,1886,0.1917789852897028,1886,0.0165672063827514
14,1887,0.22581401098901097,1887,0.0144509434700013
15,1888,0.2073536081568076,1888,0.0099507570266723
16,1889,0.22061517857142857,1889,0.0099805235862732
17,1890,0.2225528785261946,1890,0.0314553618431091
18,1891,0.21034677130044843,1891,0.0067202448844909
19,1892,0.22388303956130043,1892,0.0169541239738464
20,1893,0.21592557234432236,1893,0.0169114470481872
21,1894,0.22274763176387913,1894,0.0156032800674439
22,1895,0.20753475870494803,1895,0.0124815583229064
23,1896,0.1801537170263789,1896,0.0017349123954772
24,1897,0.22127857785778576,1897,0.0108827590942383
25,1898,0.1833725572697522,1898,0.0123848915100097
26,1899,0.2596240963855422,1899,0.0207064747810363
27,1900,0.1778303740648379,1900,0.0131706476211547
28,1901,0.25799481434058896,1901,0.0143909335136414
29,1902,0.2152379533035271,1902,0.0323468446731567
30,1903,0.24955054530201343,1903,0.0031172394752503
31,1904,0.24141492582500756,1904,0.0062467694282531
32,1905,0.19800939682539687,1905,-0.0023344159126281
33,1906,0.21036146191423918,1906,0.0173109769821167
34,1907,0.19010097732603595,1907,0.0029999375343322
35,1908,0.18072198226869743,1908,0.006475293636322
36,1909,0.22922830938550898,1909,0.007131564617157
37,1910,0.2141682892628205,1910,0.0180073499679566
38,1911,0.22269438709677422,1911,0.0207710742950439
39,1912,0.1801465616375345,1912,0.0130497097969054
40,1913,0.20714345887598262,1913,0.0135107398033141
41,1914,0.1770148040766122,1914,0.0179892778396606
42,1915,0.17460251004016064,1915,0.0077775716781616
43,1916,0.1758091634738186,1916,0.0152311444282532
44,1917,0.15309085122131758,1917,0.0211085677146911
45,1918,0.11540938442632107,1918,0.0190127611160277
46,1919,0.14853148008306588,1919,0.0231465935707092
47,1920,0.14514209748892173,1920,0.0091512680053711
48,1921,0.1665794388426129,1921,0.010735559463501
49,1922,0.16427253615127918,1922,0.0174667954444884
50,1923,0.20341261620185921,1923,0.0148398280143737
51,1924,0.15345242443729903,1924,0.014161217212677
52,1925,0.18240063813813814,1925,0.0038941860198974
53,1926,0.17258281867145422,1926,0.0261437773704528
54,1927,0.18386878281622912,1927,-0.0021310806274413
55,1928,0.17899160209424084,1928,0.011092472076416
56,1929,0.1957567653988556,1929,0.0272852540016174
57,1930,0.18326071830809662,1930,0.0214785575866699
58,1931,0.17544211544663013,1931,0.0060216188430786
59,1932,0.16565810197403147,1932,0.026318597793579
60,1933,0.18156139700200896,1933,0.0130877494812011
61,1934,0.18704053794428435,1934,0.0203844428062438
62,1935,0.164061504570988,1935,0.027636456489563
63,1936,0.18038956158663885,1936,0.0255507826805114
64,1937,0.15249795208655328,1937,0.0178620100021362
65,1938,0.14417946245983054,1938,0.0340886354446411
66,1939,0.1556555803019055,1939,0.0269219279289245
67,1940,0.1421084242772353,1940,0.0249375939369201
68,1941,0.10194565018315017,1941,0.0227056145668029
69,1942,-0.01031971210571856,1942,0.0218073487281799
70,1943,-0.013435780631061335,1943,0.0324423670768737
71,1944,0.02758333739045764,1944,0.0360866069793701
72,1945,0.06623695718421453,1945,0.0260417461395263
73,1946,0.09544430611240065,1946,0.0293755888938904
74,1947,0.11146505190311418,1947,0.0342844009399414
75,1948,0.18373187306936253,1948,0.0389782905578613
76,1949,0.1539486412672402,1949,0.0340412020683288
77,1950,0.15430278852920482,1950,0.0510667562484741
78,1951,0.17090413102820748,1951,0.0531854629516601
79,1952,0.15308729491525425,1952,0.0344687938690185
80,1953,0.19408940163051838,1953,0.0307055592536926
81,1954,0.1938917447267336,1954,0.0622713565826416
82,1955,0.24068361140076472,1955,0.0587884306907653
83,1956,0.22209820504781316,1956,0.0587423682212829
84,1957,0.2169619027484144,1957,0.0499979615211486
85,1958,0.20496186014736742,1958,0.0840415954589843
86,1959,0.2099206642227459,1959,0.0823073744773864
87,1960,0.23619605709005032,1960,0.0674784660339355
88,1961,0.2337006016011847,1961,0.0771508455276489
89,1962,0.24552709506954484,1962,0.0705971479415893
90,1963,0.23445576063807574,1963,0.0751818060874939
91,1964,0.22826867170569268,1964,0.081998074054718
92,1965,0.23267494324333765,1965,0.0782536983489989
93,1966,0.2237566265930178,1966,0.081048035621643
94,1967,0.2000592517340433,1967,0.0820915102958679
95,1968,0.23545050316055627,1968,0.1178495287895202
96,1969,0.22078044836744265,1969,0.0914319157600402
97,1970,0.19983392544499562,1970,0.0967725157737732
98,1971,0.1904136121061481,1971,0.0818575739860534
99,1972,0.20709182648401825,1972,0.075416874885559
100,1973,0.2355238421758284,1973,0.0941593527793884
101,1974,0.2343531105729206,1974,0.0873680710792541
102,1975,0.21021511100595447,1975,0.077465271949768
103,1976,0.22995423439958051,1976,0.080174446105957
104,1977,0.2103272429523921,1977,0.0811604261398315
105,1978,0.20516236524011763,1978,0.0896488070487976
106,1979,0.2460049473164307,1979,0.0797812461853028
107,1980,0.2520205739724939,1980,0.0971531391143799
108,1981,0.2414213780836025,1981,0.0809566974639892
109,1982,0.23256755525787007,1982,0.0693800926208495
110,1983,0.23290326597350328,1983,0.0891354799270629
111,1984,0.2463235281569966,1984,0.0934367895126343
112,1985,0.24192440552140124,1985,0.0898313403129578
113,1986,0.24355448317794895,1986,0.0906942248344422
114,1987,0.2613100456621004,1987,0.1000115394592284
115,1988,0.2640684241989479,1988,0.1065257906913756
116,1989,0.2702696595832474,1989,0.0947132349014282
117,1990,0.2754543312026979,1990,0.1050989031791687
118,1991,0.25045315076349556,1991,0.0935842156410217
119,1992,0.26062415991659316,1992,0.0948547840118408
120,1993,0.24311701117553144,1993,0.1023862242698668
121,1994,0.2448176930944017,1994,0.0912928104400634
122,1995,0.21788373475951828,1995,0.099376904964447
123,1996,0.24314210422228813,1996,0.1107048869132996
124,1997,0.25548669356569514,1997,0.0902097702026367
125,1998,0.26264178710394664,1998,0.0771969556808471
126,1999,0.2655424130147779,1999,0.1096466541290283
127,2000,0.26746654562169614,2000,0.1189585924148559
128,2001,0.27009991743119266,2001,0.106462562084198
129,2002,0.28163058693855053,2002,0.1077844500541687
130,2003,0.27002550630408995,2003,0.1087167620658875
131,2004,0.27168399119091985,2004,0.1133726835250854
132,2005,0.2768413328477786,2005,0.1162573456764221
133,2006,0.29294851866317023,2006,0.1074162364006042
134,2007,0.28841805949551486,2007,0.1117277979850769
135,2008,0.32779622662449365,2008,0.1020289063453674
136,2009,0.3037314026517795,2009,0.1004040837287902
137,2010,0.33359705431754877,2010,0.1029042959213256
