Year,AverageSentiment
1950,0.839755233716323
1951,0.8651419411938793
1952,0.8783176297743875
1953,0.8627588158072154
1954,0.8850613592289704
1955,0.8705550568955082
1956,0.8815959146995358
1957,0.8720522533082748
1958,0.8243556332800104
1959,0.7832072916377854
1960,0.8081589082181078
1961,0.7845103953089857
1962,0.8114778374610561
1963,0.8592711343217202
1964,0.8901072520166877
1965,0.8728892176578881
1966,0.9124059745749442
1967,0.933197444571744
1968,0.9236098441706052
1969,0.921997836359354
1970,0.9163095083749687
1971,0.9175421327899971
1972,0.8767209512224885
1973,0.8666451693704036
1974,0.8955907008282165
1975,0.9063528716099883
1976,0.9187879293539628
1977,0.882882683644899
1978,0.8813754006249931
1979,0.8458651249693453
1980,0.8341051244763061
1981,0.8517416130506338
1982,0.8503300300121168
1983,0.857372149391055
1984,0.8634310228931809
1985,0.8710313625145445
1986,0.8610463885360141
1987,0.8644237923437867
1988,0.8425472198652489
1989,0.8603382565919143
1990,0.8728905530878791
1991,0.8753388134237573
1992,0.8693036753714394
1993,0.8686265694154048
1994,0.8823449322496615
1995,0.8839197354569601
1996,0.89098680118011
1997,0.8939804736066355
1998,0.8869853621456558
1999,0.8918321931506485
2000,0.8972115584167706
2001,0.9080083535379887
2002,0.9028095825488609
2003,0.8982222282661769
2004,0.8863360320268727
2005,0.9084424412747599
2006,0.9020784919449498
2007,0.9013372179717852
2008,0.9011204450505048
2009,0.9140999533665939
2010,0.9074789667063233
2011,0.9116924166713232
2012,0.9207342058641861
2013,0.9495133265416356
2014,0.9096976861014414
2015,0.9168674714758814
2016,0.9206681777383865
2017,0.9320383141163797
2018,0.9414007952478847
2019,0.939977102321184
2020,0.923526374156441
2021,0.9588211795830673
