"Predictor","Order_p_d_q","Coefficient","SE","t","p"
"indi_z","(0, 1, 1)",0.013,0.0178,0.7102,0.4776
"coll_z","(0, 1, 1)",0.029,0.0148,1.9384,0.0526
"loose_z","(0, 1, 1)",-0.006,0.0252,-0.2257,0.8214
"tight_z","(0, 1, 1)",0.005,0.0103,0.4633,0.6432
"indi_z","(0, 1, 3)",-0.016,0.0358,-0.4348,0.6637
"coll_z","(0, 1, 3)",-0.044,0.0331,-1.3205,0.1867
"loose_z","(1, 0, 0)",0.034,0.0073,4.6422,0
"tight_z","(0, 1, 3)",-0.009,0.0186,-0.5092,0.6106
"indi_z","(0, 1, 1)",-0.03,0.0448,-0.6633,0.5071
"coll_z","(1, 0, 1)",0.056,0.0198,2.8376,0.0045
"loose_z","(0, 1, 1)",-0.091,0.0544,-1.6775,0.0935
"tight_z","(0, 1, 1)",-0.019,0.0208,-0.8926,0.372
