"","Year","Prob","Means"
"1",1953,0.998,0.837985805360602
"2",1931,0.994,0.879364669134866
"3",1982,0.98,0.72647243246853
"4",1998,0.922,0.736271580109848
"5",1997,0.842,0.680683883648573
"6",1877,0.83,0.908968884591511
"7",1957,0.796,0.788723505542276
"8",1958,0.186,0.740654078988722
"9",1874,0.078,0.912973521718905
"10",1879,0.04,0.880440950777658
"11",1999,0.04,0.660853926495646
"12",1960,0.038,0.729154128777583
"13",1959,0.036,0.730527125562978
"14",1996,0.034,0.679427458614006
"15",1873,0.026,0.914008556958722
"16",1961,0.022,0.728236738006343
"17",1983,0.022,0.680236625113722
"18",1878,0.02,0.880882785108155
"19",1966,0.018,0.727224399365726
"20",1876,0.016,0.909458868302243
"21",1967,0.016,0.727010723081374
"22",1977,0.016,0.726758212430159
"23",1875,0.014,0.909730502423486
"24",1927,0.014,0.879711871372262
"25",1962,0.014,0.727866167144423
"26",1963,0.014,0.727653266544583
"27",2000,0.014,0.659895638584103
"28",1951,0.012,0.837756957861903
"29",1900,0.01,0.879633242748092
"30",1941,0.01,0.838000836860094
"31",1964,0.01,0.727456162887676
"32",2002,0.01,0.659583497569943
"33",1888,0.008,0.879496322669537
"34",1916,0.008,0.879681831370445
"35",1920,0.008,0.879667286901808
"36",1921,0.008,0.879686144828218
"37",1944,0.008,0.837808640254951
"38",1965,0.008,0.727323629767609
"39",1974,0.008,0.726849846183213
"40",1976,0.008,0.72681598729879
"41",2006,0.008,0.659553740012843
"42",1880,0.006,0.879585644096771
"43",1881,0.006,0.879561956813431
"44",1883,0.006,0.879489179284415
"45",1884,0.006,0.879453962620993
"46",1886,0.006,0.879456851524366
"47",1887,0.006,0.879473168391442
"48",1893,0.006,0.879570252888943
"49",1894,0.006,0.879584239125618
"50",1895,0.006,0.879596817828562
"51",1905,0.006,0.879763131516779
"52",1924,0.006,0.879784286926066
"53",1925,0.006,0.879760411569074
"54",1939,0.006,0.838033525831455
"55",1942,0.006,0.837923183230894
"56",1943,0.006,0.837873119283072
"57",1952,0.006,0.837990730593115
"58",1972,0.006,0.726871078681358
"59",1975,0.006,0.726852244492778
"60",1978,0.006,0.726545054690555
"61",1979,0.006,0.726504609859931
"62",1984,0.006,0.679295858061747
"63",1986,0.006,0.67928731042216
"64",1990,0.006,0.679267916526936
"65",2001,0.006,0.659700638034764
"66",2005,0.006,0.659507305047283
"67",1882,0.004,0.879501535478548
"68",1890,0.004,0.879545672476097
"69",1897,0.004,0.879610136331427
"70",1898,0.004,0.87961442962721
"71",1899,0.004,0.879621351776122
"72",1901,0.004,0.879672862187172
"73",1902,0.004,0.879693445471561
"74",1907,0.004,0.879766007112068
"75",1908,0.004,0.879762400363155
"76",1909,0.004,0.879731343535731
"77",1910,0.004,0.879691105541872
"78",1912,0.004,0.879669772753953
"79",1919,0.004,0.879658115959386
"80",1922,0.004,0.87969996793354
"81",1923,0.004,0.879733572894795
"82",1928,0.004,0.879419902629818
"83",1930,0.004,0.879321710997
"84",1932,0.004,0.838031704885506
"85",1935,0.004,0.838057624808022
"86",1937,0.004,0.838066082805518
"87",1945,0.004,0.837768364759064
"88",1948,0.004,0.837738746610475
"89",1969,0.004,0.726858914116821
"90",1970,0.004,0.726841282037495
"91",1980,0.004,0.726444148863697
"92",1989,0.004,0.679265967820505
"93",1994,0.004,0.67933873209409
"94",1995,0.004,0.67935048714932
"95",1885,0.002,0.87945625889612
"96",1889,0.002,0.879540112527528
"97",1896,0.002,0.879605492933764
"98",1903,0.002,0.879748425550045
"99",1904,0.002,0.879762627633535
"100",1911,0.002,0.879669888931868
"101",1914,0.002,0.879691535230285
"102",1915,0.002,0.87968885818639
"103",1917,0.002,0.879658942841308
"104",1926,0.002,0.879720688331569
"105",1933,0.002,0.838091109416552
"106",1934,0.002,0.838052351778127
"107",1938,0.002,0.838045170786925
"108",1946,0.002,0.837747035194493
"109",1949,0.002,0.837736092260394
"110",1950,0.002,0.837735952307262
"111",1955,0.002,0.788713408530866
"112",1968,0.002,0.726850979875459
"113",1971,0.002,0.726861131742622
"114",1985,0.002,0.679295648152856
"115",1987,0.002,0.679262699791322
"116",1991,0.002,0.679302730414417
"117",1992,0.002,0.679312663262844
"118",1993,0.002,0.679323979726541
"119",2004,0.002,0.659509562993491
"120",2007,0.002,0.659594217686642
"121",2008,0.002,0.659613055566487
"122",2009,0.002,0.65961323505612
"123",1891,0,0.879570252888943
"124",1892,0,0.879570252888943
"125",1906,0,0.879766007112068
"126",1913,0,0.879691535230285
"127",1918,0,0.879658115959386
"128",1929,0,0.879321710997
"129",1936,0,0.838066082805518
"130",1940,0,0.838000836860094
"131",1947,0,0.837738746610475
"132",1954,0,0.788713408530866
"133",1956,0,0.788723505542276
"134",1973,0,0.726849846183213
"135",1981,0,0.72647243246853
"136",1988,0,0.679265967820505
"137",2003,0,0.659509562993491
"138",2010,NA,0.659650745831865
